Compound,Description,Index,Input,Output,Hidden
cpd00001[e0] ,H2O[e0] ,1,0,1,0
cpd00007[e0] ,O2[e0] ,8,1,0,0
cpd00009[e0] ,Pi[e0] ,11,1,0,0
cpd00011[e0] ,CO2[e0] ,14,0,1,0
cpd00107[e0] ,L-leucine[e0] ,83,1,0,0
cpd00130[e0] ,L-malate[e0] ,97,1,0,0
cpd00048[e0] ,SO4[e0] ,41,1,0,0
cpd00067[e0] ,H+[e0] ,58,1,0,0
cpd00227[e0] ,homoserine[e0] ,122,1,0,0
cpd00528[e0] ,N2[e0],154,1,0,0
cpd00421[c0],PolyP[c0],142,0,1,0
cpd00214[c0],hexadecanoate[c0],117,0,1,0
cpd03802[c0],homospermidine[c0],215,0,1,0
cpd12836[c0],PHB[c0],229,0,1,0
cpdPG6[c0],Phosphatidylglycerol-1-palmitoleoyl-2-palmitic[c0],232,0,1,0
cpd00111[c0],oxidized_glutathione[c0],86,0,1,0
cpd00155[c0],glycogen[c0],103,0,1,0
cpd00013[e0] ,NH3[e0] ,17,0,1,0
cpd00035[e0] ,L-alanine[e0],32,0,1,0
cpd00041[e0] ,L-aspartate[e0],37,0,1,0
cpd11640[e0] ,H2[e0] ,224,0,1,0
cpd00051[e0],L-arginine[e0],43,1,0,0
cpd00084[e0],L-cysteine[e0],72,1,0,0
cpd00281[e0],GABA[e0],131,1,0,0
cpd00053[e0],L-glutamine[e0],45,1,0,0
cpd00023[e0],L-glutamate[e0],23,1,0,0
cpd00033[e0],glycine,30,1,0,0
cpd00119[e0],L-histidine[e0],90,1,0,0
cpd00322[e0],L-isoleucine[e0],135,1,0,0
cpd00039[e0],L-lysine[e0],35,1,0,0
cpd00060[e0],L-methionine[e0],50,1,0,0
cpd00066[e0],L-phenylalanine[e0],56,1,0,0
cpd00129[e0],L-proline[e0],95,1,0,0
cpd00054[e0],L-serine[e0],47,1,0,0
cpd00161[e0],L-threonine[e0],107,1,0,0
cpd00065[e0],L-tryptophan[e0],54,1,0,0
cpd00069[e0],L-tyrosine[e0],60,1,0,0
cpd00156[e0],L-valine[e0],105,1,0,0
